mot_capverdien,traduction,categorie
espacu,espaço,Nom
espada,espada,Nom
espelho,espelho,Nom
espera,espera,Nom
esperansa,esperança,Nom
espertu,esperto,Adjectif
espia,espiar,Verbe
espinha,espinha,Nom
espirito,espírito,Nom
esposa,esposa,Nom
esposu,esposo,Nom
esquema,esquema,Nom
esquerda,esquerda,Nom
esquina,esquina,Nom
essencia,essência,Nom
estabelesi,estabelecer,Verbe
estacao,estação,Nom
estadiu,estádio,Nom
estadu,estado,Nom
estatua,estátua,Nom
estilu,estilo,Nom
estimula,estimular,Verbe
estomagu,estômago,Nom
estrada,estrada,Nom
estranhu,estranho,Adjectif
estrela,estrela,Nom
estrutura,estrutura,Nom
estuda,estudar,Verbe
estudante,estudante,Nom
estudu,estudo,Nom
etapa,etapa,Nom
eternu,eterno,Adjectif
eu,eu,Pronom
europa,Europa,Nom
eventu,evento,Nom
evita,evitar,Verbe
evoluson,evolução,Nom
exami,exame,Nom
exatu,exato,Adjectif
excesu,excesso,Nom
exigensia,exigência,Nom
existensia,existência,Nom
exito,êxito,Nom
experiencia,experiência,Nom
explika,explicar,Verbe
exploson,explosão,Nom
exporta,exportar,Verbe
expresson,expressão,Nom
exterior,exterior,Nom
extra,extra,Adjectif
extremu,extremo,Adjectif
